,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
77,Parkchester,40.837937822267286,-73.85600310535783,Parkchester Terracotta Statue,40.838968294788714,-73.85662078857422,Public Art
78,Parkchester,40.837937822267286,-73.85600310535783,Casper's Home Movie Room,40.838817539362495,-73.85834960368172,Multiplex
79,Parkchester,40.837937822267286,-73.85600310535783,Calming Fountain,40.8382622143498,-73.85943757934255,Public Art
80,Parkchester,40.837937822267286,-73.85600310535783,Fancy Feet Dance Studio,40.83442063816677,-73.85381354596089,Dance Studio
81,Parkchester,40.837937822267286,-73.85600310535783,Cool Jazz Entertainment,40.841832000000004,-73.85652900000001,Concert Hall
82,Parkchester,40.837937822267286,-73.85600310535783,Kips Bay Boys & Girls Club  presents Broadway Babies XXVIII,40.83543152074872,-73.86033287916004,Performing Arts Venue
83,Westchester Square,40.8406194964327,-73.84219407604444,BAAD! The Bronx Academy of Arts and Dance,40.838194177752165,-73.84455685905208,Indie Theater
84,Westchester Square,40.8406194964327,-73.84219407604444,Cache Dance School,40.841568,-73.842205,Dance Studio
85,Westchester Square,40.8406194964327,-73.84219407604444,Elite Stars Dance Academy,40.841652,-73.842182,Dance Studio
86,Westchester Square,40.8406194964327,-73.84219407604444,Cache Studios Inc,40.8378652,-73.84173269999997,Dance Studio
87,Westchester Square,40.8406194964327,-73.84219407604444,BAAD!,40.838237,-73.844564,Indie Theater
88,Westchester Square,40.8406194964327,-73.84219407604444,Bronx Dance Theater Presents The Nutcracker,40.840011,-73.837637,Theater
89,Van Nest,40.84360847124718,-73.8662991807561,Demon House Theater,40.84239669746992,-73.8663412068705,Movie Theater
90,Van Nest,40.84360847124718,-73.8662991807561,THE VZONE,40.84297638846372,-73.86765477390047,Music Venue
91,Van Nest,40.84360847124718,-73.8662991807561,Poletic Justice,40.844482,-73.86862,Dance Studio
92,Van Nest,40.84360847124718,-73.8662991807561,Electrostar,40.846293,-73.86209699999999,Movie Theater
93,Morris Park,40.847549063536334,-73.85040178030421,Morris Park Tattoo,40.848199,-73.856271,Public Art
94,Belmont,40.85727710073895,-73.88845196134804,Howl At The Moon,40.857572927824215,-73.88644395048595,Piano Bar
95,Belmont,40.85727710073895,-73.88845196134804,Bronx Dance Theatre,40.85595891854116,-73.88811774447312,Dance Studio
96,Belmont,40.85727710073895,-73.88845196134804,HOTAI Dance Studio,40.858548,-73.892448,Dance Studio
97,Belmont,40.85727710073895,-73.88845196134804,"Fordham Museum of Greek, Etruscan, and Roman Art",40.861504,-73.88914,Art Museum
98,Belmont,40.85727710073895,-73.88845196134804,The Meat Shop,40.8558679,-73.882877,Music Venue
99,Spuyten Duyvil,40.88139497727086,-73.91719048210393,Wreckin Crew Productions  Studio,40.8846,-73.9135,Music Venue
100,North Riverdale,40.90854282950666,-73.90453054908927,Riverdale Video and DVD,40.906959,-73.903774,Movie Theater
101,North Riverdale,40.90854282950666,-73.90453054908927,Elisa Contemporary Art,40.904447999999995,-73.902274,Art Gallery
102,Pelham Bay,40.85064140940335,-73.8320737824047,Artistic Social,40.8467913,-73.83321519999998,Art Gallery
103,Edgewater Park,40.821986118163494,-73.81388514428619,Performers Edge Dance Academy,40.81957,-73.817225,Dance Studio
104,Castle Hill,40.819014376988314,-73.84802729582735,Verizon,40.819101,-73.843737,Theater
105,Olinville,40.87137078192371,-73.86332361652777,Studio,40.869728907375354,-73.8636751426058,Music Venue
106,Olinville,40.87137078192371,-73.86332361652777,Studio 69,40.870193,-73.861034,Music Venue
107,Olinville,40.87137078192371,-73.86332361652777,Obanga Studio,40.86826,-73.865948,Music Venue
108,Olinville,40.87137078192371,-73.86332361652777,Graffiti universe,40.86898191349447,-73.8585526125514,Art Gallery
109,Concourse,40.83428380733851,-73.91558941773444,Bronx Museum of the Arts,40.83130668787119,-73.9199493992818,Art Museum
110,Concourse,40.83428380733851,-73.91558941773444,nieves latin dance studio,40.833613,-73.91425100000001,Dance Studio
111,Concourse,40.83428380733851,-73.91558941773444,No Longer Empty - This Side of Paradise,40.83281135275373,-73.91971692065907,Art Gallery
112,Concourse,40.83428380733851,-73.91558941773444,BombaYo Arts,40.83262706444594,-73.91999602317809,Dance Studio
113,Concourse,40.83428380733851,-73.91558941773444,BombaYo Arts,40.832803000000006,-73.92029000000001,Dance Studio
114,Unionport,40.82977429787161,-73.85053524451935,Lorenz Dance Studio,40.83279392790561,-73.85119654075223,Dance Studio
115,Unionport,40.82977429787161,-73.85053524451935,Cephas Center For The Arts,40.831027,-73.852693,Theater
116,Unionport,40.82977429787161,-73.85053524451935,HITM Productions,40.833690999999995,-73.84806400000001,Music Venue
117,Bay Ridge,40.625801065010656,-74.03062069353813,the painted pot,40.62753263307759,-74.02958478804585,Art Gallery
118,Bay Ridge,40.625801065010656,-74.03062069353813,5th Ave SAW (Storefront Art Walk),40.62312723770236,-74.03115692467945,Art Gallery
119,Bay Ridge,40.625801065010656,-74.03062069353813,Bay Ridge Pipe Band HQ,40.626689,-74.026734,Concert Hall
120,Bay Ridge,40.625801065010656,-74.03062069353813,Christina Marotto Photography,40.628243,-74.033351,Art Gallery
121,Bay Ridge,40.625801065010656,-74.03062069353813,Yadid It Studios,40.62392,-74.034355,Music Venue
122,Bay Ridge,40.625801065010656,-74.03062069353813,Beyond Dance,40.622184000000004,-74.031246,Dance Studio
123,Bay Ridge,40.625801065010656,-74.03062069353813,Polizzi Fine Art,40.62751182478702,-74.02636588387604,Art Gallery
124,Bensonhurst,40.61100890202044,-73.99517998380729,Dance Force Academy,40.61361160551505,-73.99580985712464,Dance Studio
125,Bensonhurst,40.61100890202044,-73.99517998380729,DJ Centenario New York - Disco Movil Para Eventos,40.614745,-73.99428,Dance Studio
126,Sunset Park,40.64510294925429,-74.01031618527784,Yung TV Studio,40.647124,-74.011729,Art Gallery
127,Sunset Park,40.64510294925429,-74.01031618527784,Vicki's Dance Studio,40.643271999999996,-74.01264,Dance Studio
128,Sunset Park,40.64510294925429,-74.01031618527784,La Salsa De Hoy Dancing Studio,40.64718571296911,-74.00777435855494,Dance Studio
129,Sunset Park,40.64510294925429,-74.01031618527784,dAe Headquarters,40.646839,-74.013731,Music Venue
130,Sunset Park,40.64510294925429,-74.01031618527784,Street Docs Studio,40.64853,-74.008092,Music Venue
131,Sunset Park,40.64510294925429,-74.01031618527784,Nicholas' Opera House,40.64568619701066,-74.01555547646572,Concert Hall
132,Sunset Park,40.64510294925429,-74.01031618527784,Chandelier Studios,40.64744610289707,-74.01472343990191,Music Venue
133,Sunset Park,40.64510294925429,-74.01031618527784,Young Dancers Repertory,40.641804,-74.014168,Dance Studio
134,Sunset Park,40.64510294925429,-74.01031618527784,Simpleton.co,40.64405,-74.00466,Music Venue
135,Greenpoint,40.7302009848647,-73.95424093127393,Triskelion Arts,40.72702845479533,-73.9566549430326,Dance Studio
136,Greenpoint,40.7302009848647,-73.95424093127393,Succulent Studios,40.728471641726244,-73.95916965494852,Art Gallery
137,Greenpoint,40.7302009848647,-73.95424093127393,M ss ng Pe ces,40.72915548346869,-73.95370523437786,Art Gallery
138,Greenpoint,40.7302009848647,-73.95424093127393,Greenpoint Open Studios,40.73190320064722,-73.95428497540497,Art Gallery
139,Greenpoint,40.7302009848647,-73.95424093127393,Space Bar Studio,40.730038717666275,-73.95554203165511,Music Venue
140,Greenpoint,40.7302009848647,-73.95424093127393,Valley Point Music,40.7308195641488,-73.95215240606416,Arts & Entertainment
141,Greenpoint,40.7302009848647,-73.95424093127393,YES Gallery,40.732538,-73.954089,Art Gallery
142,Greenpoint,40.7302009848647,-73.95424093127393,Eckford Room,40.728388810261656,-73.95181438805206,Music Venue
143,Greenpoint,40.7302009848647,-73.95424093127393,THECEEFLAT,40.732865999999994,-73.954476,Art Gallery
144,Greenpoint,40.7302009848647,-73.95424093127393,Cee Flat Gallery,40.732893,-73.95457313,Art Gallery
145,Greenpoint,40.7302009848647,-73.95424093127393,Multitude,40.72988743029729,-73.9587539434433,Indie Theater
146,Greenpoint,40.7302009848647,-73.95424093127393,Film Noir Cinema,40.727332,-73.951537,Movie Theater
147,Greenpoint,40.7302009848647,-73.95424093127393,Booklyn,40.72985858167028,-73.9589113612404,Art Gallery
148,Greenpoint,40.7302009848647,-73.95424093127393,37 Greenpoint Ave,40.730096855914454,-73.95902427353818,Art Gallery
149,Greenpoint,40.7302009848647,-73.95424093127393,Faurschou Foundation,40.733779,-73.955455,Art Museum
150,Greenpoint,40.7302009848647,-73.95424093127393,G-Spot,40.734035,-73.953337,Art Gallery
151,Greenpoint,40.7302009848647,-73.95424093127393,Calico Brooklyn,40.72877103619742,-73.959059715271,Art Gallery
152,Greenpoint,40.7302009848647,-73.95424093127393,Arete Venue And Gallery,40.728797,-73.959121,Performing Arts Venue
153,Greenpoint,40.7302009848647,-73.95424093127393,Xizmo Media,40.729,-73.95922,Arts & Entertainment
154,Greenpoint,40.7302009848647,-73.95424093127393,Stuart Cinema & Cafe,40.728665,-73.959088,Indie Movie Theater
155,Greenpoint,40.7302009848647,-73.95424093127393,Paintings by Yvoni,40.7285182,-73.95928320000002,Art Gallery
156,Greenpoint,40.7302009848647,-73.95424093127393,Performance Space 122. Greenpoint Outpost,40.72820677646067,-73.95921818940806,Arts & Entertainment
157,Greenpoint,40.7302009848647,-73.95424093127393,Light Industry,40.7344859839504,-73.95558221140031,Indie Movie Theater
158,Greenpoint,40.7302009848647,-73.95424093127393,Broadway Stages - Stage 5,40.72905897557556,-73.94861951081596,Arts & Entertainment
159,Greenpoint,40.7302009848647,-73.95424093127393,Broadway Stages - Stage 8,40.7294963802978,-73.94882391829634,Performing Arts Venue
160,Gravesend,40.59526001306593,-73.97347087708445,Bliss Radio NYC Studios,40.59710288510822,-73.97350154357308,Music Venue
161,Gravesend,40.59526001306593,-73.97347087708445,Covenant Ballet Theatre,40.597064,-73.97478,Theater
162,Gravesend,40.59526001306593,-73.97347087708445,Brooklyn Dance Center I,40.59638600452618,-73.97767980290183,Dance Studio
163,Gravesend,40.59526001306593,-73.97347087708445,PASSION CAFE/LOUNGE,40.59627469900939,-73.9778921570652,Music Venue
164,Brighton Beach,40.57682506566604,-73.96509448785336,Leonid Farber School of Ballet,40.576772,-73.96707049999998,Dance Studio
165,Brighton Beach,40.57682506566604,-73.96509448785336,Angela's Dance School,40.57778153417474,-73.97016406059265,Dance Studio
166,Sheepshead Bay,40.58689012678384,-73.94318640482979,Tribecca Night Club,40.583568668831475,-73.94112844416705,Music Venue
167,Sheepshead Bay,40.58689012678384,-73.94318640482979,academy of dance and creative arts,40.591157912807915,-73.94211004871822,Dance Studio
168,Manhattan Terrace,40.61443251335098,-73.95743840559939,Jazz. Club,40.61530735813873,-73.95474991497144,Jazz Club
169,Manhattan Terrace,40.61443251335098,-73.95743840559939,Sky Justice Annex,40.610898999999996,-73.959372,Comedy Club
170,Manhattan Terrace,40.61443251335098,-73.95743840559939,J. Reznik Studios,40.618623,-73.95803199999999,Art Gallery
171,Flatbush,40.63632589026677,-73.95840106533903,Photo John Ricard,40.634941,-73.957339,Art Gallery
172,Crown Heights,40.67082917695294,-73.94329119073582,Jewish Children's Museum,40.66901741135495,-73.94208594950554,Museum
173,Crown Heights,40.67082917695294,-73.94329119073582,Brooklyn Children's Museum,40.67481362139854,-73.94425275269916,Museum
174,Kensington,40.642381958003526,-73.98042110559474,Tiferes Mordechai,40.639418,-73.97926899999999,Music Venue
175,Kensington,40.642381958003526,-73.98042110559474,The Command Center,40.643848,-73.979949,Dance Studio
176,Kensington,40.642381958003526,-73.98042110559474,Vincent Paul Orchestras,40.643905,-73.97964,Art Gallery
177,Kensington,40.642381958003526,-73.98042110559474,zumba,40.641937,-73.980918,Dance Studio
178,Kensington,40.642381958003526,-73.98042110559474,5C Cafe,40.6402668,-73.9792606,Music Venue
179,Kensington,40.642381958003526,-73.98042110559474,No Tea Writers’ Lab,40.64417760251725,-73.98262023925781,Performing Arts Venue
180,Windsor Terrace,40.65694583575104,-73.98007340430172,Brooklyn Music Shop Homestead,40.658534,-73.979835,Music Venue
181,Windsor Terrace,40.65694583575104,-73.98007340430172,Malcolm Glenn Project Space,40.65601182664327,-73.98015916662627,Art Museum
182,Windsor Terrace,40.65694583575104,-73.98007340430172,Fiona's Tale,40.65816,-73.980053,Arts & Entertainment
183,Windsor Terrace,40.65694583575104,-73.98007340430172,Terrace Dance Studio,40.65829488253461,-73.98216214776504,Dance Studio
184,Windsor Terrace,40.65694583575104,-73.98007340430172,Brooklyn Art Space,40.658944399738886,-73.9826442375296,Art Gallery
185,Windsor Terrace,40.65694583575104,-73.98007340430172,Jodida Thearter,40.65418451464456,-73.98103726694443,Indie Movie Theater
186,Windsor Terrace,40.65694583575104,-73.98007340430172,Barefoot Theatre Company Headquarters,40.657336,-73.97542,Theater
187,Windsor Terrace,40.65694583575104,-73.98007340430172,Ruby Streak/Velveteen Rainbow,40.654988,-73.98410699,Dance Studio
188,Windsor Terrace,40.65694583575104,-73.98007340430172,Hawaiian Express Tiny Bubble Band,40.657668,-73.974693,Concert Hall
189,Prospect Heights,40.676822262254724,-73.9648592426269,Murmrr Theatre,40.673348516732894,-73.96788976094872,Music Venue
190,Prospect Heights,40.676822262254724,-73.9648592426269,Brooklyn Urban dZong (BUZ),40.67783801194614,-73.96239553552968,Performing Arts Venue
191,Prospect Heights,40.676822262254724,-73.9648592426269,Sweetsounds Studios NYC,40.67447402744531,-73.9640427314374,Music Venue
192,Prospect Heights,40.676822262254724,-73.9648592426269,Underhill Walls,40.674454,-73.966756,Street Art
193,Prospect Heights,40.676822262254724,-73.9648592426269,Lara Ruth Smith,40.677727000000004,-73.961281,Art Gallery
194,Prospect Heights,40.676822262254724,-73.9648592426269,Microsessions Nyc,40.678499,-73.967942,Music Venue
195,Prospect Heights,40.676822262254724,-73.9648592426269,The Bookshelf Museum,40.675661198897274,-73.9596288429094,Museum
196,Prospect Heights,40.676822262254724,-73.9648592426269,Varda Yoran Sculptures,40.67335840000001,-73.9684479,Art Gallery
197,Brownsville,40.66394994339755,-73.91023536176607,SummerStage - Betsy Head Park,40.66233298946545,-73.91432851552963,Performing Arts Venue
198,Williamsburg,40.70714439344251,-73.95811529220927,Rumney Guggenheim Gallery,40.71016949490086,-73.96237820796476,Art Gallery
199,Williamsburg,40.70714439344251,-73.95811529220927,Uta Brauser,40.7088732,-73.95988539999999,Art Gallery
200,Williamsburg,40.70714439344251,-73.95811529220927,Real Gems R Us,40.7095599,-73.961685,Art Gallery
201,Williamsburg,40.70714439344251,-73.95811529220927,Real Gems R Us,40.7095599,-73.961685,Art Gallery
202,Williamsburg,40.70714439344251,-73.95811529220927,Black Diamond Gallery,40.707936,-73.953376,Art Gallery
203,Bushwick,40.69811611017901,-73.92525797487045,Lowbrow Artique,40.69977,-73.927444,Art Gallery
204,Bushwick,40.69811611017901,-73.92525797487045,Floasis,40.69855,-73.924736,Dance Studio
205,Bushwick,40.69811611017901,-73.92525797487045,MISE-EN_Place Bushwick,40.698598,-73.925487,Music Venue
206,Bushwick,40.69811611017901,-73.92525797487045,FlowJuggle.com,40.69852900000001,-73.9246693,Circus
207,Bushwick,40.69811611017901,-73.92525797487045,OUTLET Fine Art,40.698177499555555,-73.92125129699707,Art Gallery
208,Bushwick,40.69811611017901,-73.92525797487045,Castlebraid Rooftop,40.69979361379757,-73.92944540443654,Music Venue
209,Bedford Stuyvesant,40.687231607720456,-73.94178488690297,Famous Faces Mural,40.68983136810161,-73.94223690032959,Public Art
210,Bedford Stuyvesant,40.687231607720456,-73.94178488690297,Catherine Holly Archive @The Academy of Realness,40.685389433327266,-73.94464015960693,Art Gallery
211,Bedford Stuyvesant,40.687231607720456,-73.94178488690297,Euridice Gallery,40.688282,-73.938231,Art Gallery
212,Bedford Stuyvesant,40.687231607720456,-73.94178488690297,Fou Gallery,40.684188,-73.94158,Art Gallery
213,Bedford Stuyvesant,40.687231607720456,-73.94178488690297,Welancora Art Gallery,40.684078,-73.94152,Art Gallery
214,Bedford Stuyvesant,40.687231607720456,-73.94178488690297,Wisdom II Wisdom Entertainment,40.688857,-73.945465,Concert Hall
215,Bedford Stuyvesant,40.687231607720456,-73.94178488690297,Window Studio,40.684884000000004,-73.938643,Art Gallery
216,Bedford Stuyvesant,40.687231607720456,-73.94178488690297,Wayne Clarke's Place,40.68483701458711,-73.9383500744899,Art Gallery
217,Bedford Stuyvesant,40.687231607720456,-73.94178488690297,ブルックルリーン彗星,40.690736,-73.940693,Art Gallery
218,Bedford Stuyvesant,40.687231607720456,-73.94178488690297,Wangechi Mutu Brooklyn Studio,40.68593879966089,-73.93716753315793,Art Gallery
219,Bedford Stuyvesant,40.687231607720456,-73.94178488690297,The Luminal Theater,40.683766999999996,-73.943804,Indie Movie Theater
220,Bedford Stuyvesant,40.687231607720456,-73.94178488690297,BemoBenBen,40.69021894914114,-73.94496872835403,Art Gallery
221,Bedford Stuyvesant,40.687231607720456,-73.94178488690297,Bella Studios,40.68857103251254,-73.94676403686498,Music Venue
222,Bedford Stuyvesant,40.687231607720456,-73.94178488690297,Almira Kennedy Coursey Ampitheatre,40.68990458432631,-73.94622802734375,Amphitheater
223,Brooklyn Heights,40.695863722724084,-73.99378225496424,Brooklyn Historical Society,40.69494199303208,-73.9923327785124,History Museum
224,Brooklyn Heights,40.695863722724084,-73.99378225496424,The Heights Players Theatre,40.693004781613084,-73.99829256821472,Indie Theater
225,Brooklyn Heights,40.695863722724084,-73.99378225496424,Studio 24,40.69632,-73.992246,Art Gallery
226,Brooklyn Heights,40.695863722724084,-73.99378225496424,Creative Lifestyles Productions Inc,40.69432181437131,-73.99073123931885,Dance Studio
227,Brooklyn Heights,40.695863722724084,-73.99378225496424,Kongsuadiputra's Gallery,40.69283360220467,-73.99257846074144,Art Gallery
228,Brooklyn Heights,40.695863722724084,-73.99378225496424,Madam Morbid Trolley tour,40.698936,-73.99122,Tour Provider
229,Cobble Hill,40.687919722485574,-73.99856139218463,Picture Room,40.690976,-73.996278,Art Gallery
230,Cobble Hill,40.687919722485574,-73.99856139218463,Cobble Hill Cinemas,40.68483225711327,-73.99450049084267,Indie Movie Theater
231,Cobble Hill,40.687919722485574,-73.99856139218463,ChrisSewell Graphics LLC,40.689362782557325,-73.99472236633301,Art Gallery
232,Cobble Hill,40.687919722485574,-73.99856139218463,Cobble Hill Ballet,40.68547526996224,-74.0024289098874,Dance Studio
233,Cobble Hill,40.687919722485574,-73.99856139218463,Heights Theater,40.691781,-73.99847209453583,Theater
234,Cobble Hill,40.687919722485574,-73.99856139218463,Theater 219 (VPR),40.686538,-73.993599,Theater
235,Cobble Hill,40.687919722485574,-73.99856139218463,The Clockworks Theater,40.685441,-74.00279499999999,Performing Arts Venue
236,Cobble Hill,40.687919722485574,-73.99856139218463,Brooklyn Youth Chorus,40.68930415176191,-73.9934942101758,Performing Arts Venue
237,Cobble Hill,40.687919722485574,-73.99856139218463,The Toy Museum Of NY,40.68511281953793,-74.00249540805817,Museum
238,Carroll Gardens,40.680540231076485,-73.99465372828006,Cobble Hill Cinemas,40.68483225711327,-73.99450049084267,Indie Movie Theater
